SATISFACTION_LEVEL,LAST_EVALUATION,NUMBER_PROJECT,AVERAGE_MONTLY_HOURS,TIME_SPEND_COMPANY,WORK_ACCIDENT,QUIT_THE_COMPANY,PROMOTION_LAST_5YEARS,DEPARTMENTS,SALARY,EMPLOYEE_ID,ABSENTEEISM,JOB_ROLE,MANAGER_FEEDBACK_SCORE,REMOTE_WORK,ENGAGEMENT_SCORE
0.32,0.97,6.0,272,2.0,0.0,0,0,sales,low,EMP03596,11,Sales Executive,2.6,1,0.29
0.79,0.60,5.0,223,3.0,0.0,0,0,sales,low,EMP06351,8,Sales Executive,6.8,1,0.74
0.81,0.98,6.0,196,2.0,0.0,0,0,support,low,EMP05698,6,Customer Support,8.8,1,0.85
0.39,0.56,2.0,133,3.0,0.0,1,0,technical,low,EMP01492,15,Software Engineer,5.5,1,0.47
0.83,0.37,5.0,101,4.0,1.0,0,0,support,low,EMP08401,4,Customer Support,8.3,0,0.83
0.66,0.90,4.0,268,3.0,0.0,0,0,technical,medium,EMP10514,3,Software Engineer,5.7,0,0.62
0.95,0.66,4.0,223,10.0,0.0,0,0,IT,low,EMP13784,1,IT Support,10.0,1,0.98
0.45,0.53,2.0,155,3.0,0.0,1,0,IT,low,EMP12142,14,IT Support,3.6,0,0.40
0.09,0.92,7.0,301,4.0,0.0,1,0,marketing,low,EMP01612,7,Marketing Analyst,1.0,0,0.10
0.53,0.67,4.0,167,2.0,0.0,0,0,management,low,EMP02907,5,Operations Manager,5.0,0,0.52
0.98,0.68,4.0,154,3.0,0.0,0,0,sales,low,EMP06352,5,Sales Executive,7.8,0,0.88
0.52,0.54,5.0,247,4.0,0.0,0,0,technical,high,EMP03326,5,Software Engineer,7.1,1,0.62
0.61,0.97,3.0,148,3.0,0.0,0,0,RandD,low,EMP03205,0,Research Scientist,4.5,1,0.53
0.66,0.73,3.0,244,3.0,0.0,0,0,support,medium,EMP04101,3,Customer Support,5.4,0,0.60
0.94,0.86,3.0,223,4.0,0.0,0,0,sales,medium,EMP04904,6,Sales Executive,9.5,0,0.94
0.58,0.53,4.0,192,4.0,0.0,0,0,IT,medium,EMP07926,1,IT Support,5.9,1,0.58
0.49,0.95,2.0,181,4.0,1.0,0,0,IT,low,EMP09453,7,IT Support,4.7,0,0.48
0.32,0.60,2.0,280,4.0,0.0,1,0,technical,low,EMP01412,10,Software Engineer,1.2,0,0.22
0.36,0.55,2.0,152,3.0,0.0,1,0,IT,low,EMP00903,9,IT Support,4.4,1,0.40
0.77,0.91,4.0,239,3.0,1.0,0,0,product_mng,low,EMP13553,3,Product Manager,8.9,0,0.83
0.58,0.76,3.0,220,3.0,0.0,0,0,support,medium,EMP03261,1,Customer Support,5.2,1,0.55
0.14,0.93,4.0,180,4.0,0.0,0,0,marketing,high,EMP07489,18,Marketing Analyst,2.4,1,0.19
0.10,0.95,7.0,301,4.0,0.0,1,0,marketing,low,EMP12161,10,Marketing Analyst,2.3,0,0.16
0.61,0.84,5.0,104,4.0,0.0,0,0,sales,low,EMP02232,4,Sales Executive,5.6,0,0.58
0.80,0.54,4.0,258,3.0,0.0,0,0,support,low,EMP03102,7,Customer Support,8.9,0,0.84
0.49,1.00,3.0,176,3.0,0.0,0,0,support,medium,EMP02799,9,Customer Support,3.6,0,0.42
0.80,0.82,4.0,175,2.0,0.0,0,0,management,low,EMP06854,5,Operations Manager,8.3,1,0.82
0.84,0.99,4.0,262,6.0,0.0,1,0,accounting,medium,EMP14623,0,Financial Analyst,9.6,0,0.90
0.69,0.53,3.0,135,2.0,0.0,0,0,sales,low,EMP03370,3,Sales Executive,7.4,0,0.72
